,第n回,種別,No,開催日,試合結果,くじ結果,当選金_1,当選金_2,当選金_3,次回への繰越金_1,次回への繰越金_2,次回への繰越金_3,当せん口数_1,当せん口数_2,当せん口数_3,販売開始日,販売終了日,結果発表日,払戻開始日,払戻期限,ホーム,アウェイ
0,550,mini toto-A組,1,20120304,2-1,1,1805,0,0,0,0,0,5824,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火),水戸ホーリーホック,横浜ＦＣ
1,550,mini toto-A組,2,20120304,2-0,1,1805,0,0,0,0,0,5824,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火),東京ヴェルディ,松本山雅ＦＣ
2,550,mini toto-A組,3,20120304,2-1,1,1805,0,0,0,0,0,5824,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火),ヴァンフォーレ甲府,栃木ＳＣ
3,550,mini toto-A組,4,20120304,1-1,0,1805,0,0,0,0,0,5824,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火),ファジアーノ岡山,カターレ富山
4,550,mini toto-A組,5,20120304,2-1,1,1805,0,0,0,0,0,5824,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火),アビスパ福岡,ロアッソ熊本
5,550,mini toto-B組,1,20120304,2-2,0,7813,0,0,0,0,0,1002,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火),ＦＣ岐阜,ガイナーレ鳥取
6,550,mini toto-B組,2,20120304,2-0,1,7813,0,0,0,0,0,1002,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火),ジェフユナイテッド千葉,モンテディオ山形
7,550,mini toto-B組,3,20120304,2-0,1,7813,0,0,0,0,0,1002,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火),愛媛ＦＣ,ＦＣ町田ゼルビア
8,550,mini toto-B組,4,20120304,2-1,1,7813,0,0,0,0,0,1002,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火),湘南ベルマーレ,京都サンガF.C.
9,550,mini toto-B組,5,20120304,1-2,2,7813,0,0,0,0,0,1002,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火),ギラヴァンツ北九州,徳島ヴォルティス
10,551,toto,1,20120310,1-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),ベガルタ仙台,鹿島アントラーズ
11,551,toto,2,20120310,1-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),名古屋グランパス,清水エスパルス
12,551,toto,3,20120310,2-3,2,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),ガンバ大阪,ヴィッセル神戸
13,551,toto,4,20120310,1-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),サンフレッチェ広島,浦和レッズ
14,551,toto,5,20120310,0-0,0,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),サガン鳥栖,セレッソ大阪
15,551,toto,6,20120310,0-0,0,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),北海道コンサドーレ札幌,ジュビロ磐田
16,551,toto,7,20120310,1-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),川崎フロンターレ,アルビレックス新潟
17,551,toto,8,20120310,0-1,2,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),大宮アルディージャ,ＦＣ東京
18,551,toto,9,20120311,3-3,0,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),柏レイソル,横浜Ｆ・マリノス
19,551,toto,10,20120311,0-0,0,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),ギラヴァンツ北九州,ファジアーノ岡山
20,551,toto,11,20120311,1-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),水戸ホーリーホック,カターレ富山
21,551,toto,12,20120311,0-3,2,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),栃木ＳＣ,大分トリニータ
22,551,toto,13,20120311,3-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),徳島ヴォルティス,ＦＣ岐阜
23,551,mini toto-A組,1,20120310,1-0,1,14349,0,0,0,0,0,735,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月10日(土),2012年03月13日(火),2013年03月12日(火),ベガルタ仙台,鹿島アントラーズ
24,551,mini toto-A組,2,20120310,1-0,1,14349,0,0,0,0,0,735,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月10日(土),2012年03月13日(火),2013年03月12日(火),名古屋グランパス,清水エスパルス
25,551,mini toto-A組,3,20120310,2-3,2,14349,0,0,0,0,0,735,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月10日(土),2012年03月13日(火),2013年03月12日(火),ガンバ大阪,ヴィッセル神戸
26,551,mini toto-A組,4,20120310,1-0,1,14349,0,0,0,0,0,735,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月10日(土),2012年03月13日(火),2013年03月12日(火),サンフレッチェ広島,浦和レッズ
27,551,mini toto-A組,5,20120310,0-0,0,14349,0,0,0,0,0,735,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月10日(土),2012年03月13日(火),2013年03月12日(火),サガン鳥栖,セレッソ大阪
28,551,mini toto-B組,1,20120310,0-0,0,14840,0,0,0,0,0,520,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),北海道コンサドーレ札幌,ジュビロ磐田
29,551,mini toto-B組,2,20120310,1-0,1,14840,0,0,0,0,0,520,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火),川崎フロンターレ,アルビレックス新潟
