チーム名,別名1,別名2,別名3,別名4,別名5
北海道コンサドーレ札幌,札幌,コンサドーレ札幌,,,
ベガルタ仙台,仙台,B仙台,,,
鹿島アントラーズ,鹿島,,,,
浦和レッズ,浦和,,,,
柏レイソル,柏,,,,
ＦＣ東京,FC東京,Ｆ東京,,,
川崎フロンターレ,川崎Ｆ,川崎,,,
横浜Ｆ・マリノス,横浜FM,横浜M,横浜Ｍ,横浜 Ｆ・マリノス,
横浜ＦＣ,横浜FC,横浜Ｃ,,,
湘南ベルマーレ,湘南,平塚,,,
清水エスパルス,清水,,,,
名古屋グランパス,名古屋,,,,
ガンバ大阪,Ｇ大阪,,,,
セレッソ大阪,Ｃ大阪,,,,
ヴィッセル神戸,神戸,,,,
サンフレッチェ広島,広島,,,,
徳島ヴォルティス,徳島,,,,
アビスパ福岡,福岡,,,,
サガン鳥栖,鳥栖,,,,
大分トリニータ,大分,,,,
ブラウブリッツ秋田,秋田,,,,
モンテディオ山形,山形,,,,
水戸ホーリーホック,水戸,,,,
栃木ＳＣ,栃木,,,,
ザスパクサツ群馬,群馬,草津,ザスパ草津,,
大宮アルディージャ,大宮,,,,
ジェフユナイテッド千葉,千葉,市原,,,
東京ヴェルディ,東京Ｖ,Ｖ川崎,,,
ＦＣ町田ゼルビア,町田,,,,
ＳＣ相模原,相模原,,,,
ヴァンフォーレ甲府,甲府,,,,
松本山雅ＦＣ,松本,,,,
アルビレックス新潟,新潟,,,,
ツエーゲン金沢,金沢,,,,
ジュビロ磐田,磐田,,,,
京都サンガF.C.,京都,,,,
ファジアーノ岡山,岡山,,,,
レノファ山口ＦＣ,山口,,,,
愛媛ＦＣ,愛媛,,,,
ギラヴァンツ北九州,北九州,,,,
Ｖ・ファーレン長崎,長崎,,,,
ＦＣ琉球,琉球,,,,
ヴァンラーレ八戸,八戸,,,,
いわてグルージャ盛岡,岩手,盛岡,グルージャ盛岡,,
福島ユナイテッドＦＣ,福島,,,,
Ｙ．Ｓ．Ｃ．Ｃ．横浜,YS横浜,Ｙ横浜,,,
ＡＣ長野パルセイロ,長野,,,,
カターレ富山,富山,,,,
藤枝ＭＹＦＣ,藤枝,,,,
アスルクラロ沼津,沼津,,,,
ＦＣ岐阜,岐阜,,,,
ガイナーレ鳥取,鳥取,,,,
カマタマーレ讃岐,讃岐,,,,
ＦＣ今治,今治,,,,
ロアッソ熊本,熊本,,,,
テゲバジャーロ宮崎,宮崎,,,,
鹿児島ユナイテッドＦＣ,鹿児島,,,,
Ｊリーグ・アンダー２２選抜,J-22,,,,
セレッソ大阪Ｕ−２３,Ｃ大23,セレッソ大阪Ｕ－２３,セレッソ大阪U-23,,
ＦＣ東京Ｕ−２３,Ｆ東23,ＦＣ東京Ｕ－２３,ＦＣ東京U-23,,
ガンバ大阪Ｕ−２３,Ｇ大23,ガンバ大阪Ｕ－２３,ガンバ大阪U-23,,
横浜フリューゲルス,横浜Ｆ,,,,
鳥栖フューチャーズ,鳥栖Ｆ,,,,
ボルシア・ドルトムント,ＢＶＢ,,,,
チェルシーＦＣ,ＣＨＥ,,,,
セビージャＦＣ,ＳＦＣ,,,,
その他,,Ｊリーグ　ＴＥＡＭ　ＡＳ　ＯＮＥ,Ｊリーグ選抜,,
