,年月日,カテゴリ,節,H_team,A_team,K/O時刻,H_rest_days,A_rest_days,H_監督,A_監督,H_順位,H_勝点,H_試合,H_勝,H_分,H_敗,H_得点,H_失点,H_得失点差,A_順位,A_勝点,A_試合,A_勝,A_分,A_敗,A_得点,A_失点,A_得失点差,train_test,y_H_goal,y_A_goal,y_goal_deff,y_even_flg,y_H_result,H_GK,H_DF,H_MF,H_FW,A_GK,A_DF,A_MF,A_FW
415,20201220,2,42,345,302,14,4,4,201,306,3,77,41,22,11,8,63,38,25,17,49,41,12,13,16,56,64,-8,train,3,1,2,0,1,1,4,5,1,1,4,4,2
416,20201220,2,42,380,397,14,4,4,104,180,13,51,41,12,15,14,42,52,-10,21,34,41,8,10,23,38,66,-28,train,2,0,2,0,1,1,4,4,2,1,3,6,1
417,20201220,2,42,399,367,14,4,4,221,328,15,50,41,14,8,19,45,50,-5,5,65,41,19,8,14,58,49,9,train,2,1,1,0,1,1,4,3,3,1,4,4,2
418,20201220,2,42,398,377,14,4,4,172,192,8,59,41,16,11,14,47,44,3,20,46,41,14,4,23,39,62,-23,train,0,1,-1,0,2,1,5,3,2,1,4,4,2
419,20201220,2,42,356,395,14,4,4,182,204,4,65,41,16,17,8,50,39,11,18,47,41,11,14,16,37,49,-12,train,0,2,-2,0,2,1,4,3,3,1,4,4,2
420,20201220,2,42,264,338,14,4,4,308,189,14,50,41,14,8,19,58,60,-2,19,46,41,11,13,17,40,52,-12,train,0,1,-1,0,2,1,4,5,1,1,4,5,1
421,20201220,2,42,355,348,14,4,4,370,135,16,50,41,13,11,17,40,51,-11,10,57,41,14,15,12,54,52,2,train,3,1,2,0,1,1,3,6,1,1,4,5,1
422,20201220,2,42,394,396,14,4,4,155,193,12,54,41,13,15,13,48,47,1,11,55,41,15,10,16,67,62,5,train,0,1,-1,0,2,1,3,6,1,1,4,3,3
423,20201220,2,42,390,389,14,4,4,200,211,2,81,41,24,9,8,50,29,21,1,84,41,25,9,7,67,32,35,train,1,0,1,0,1,1,4,4,2,1,4,3,3
424,20201220,2,42,263,387,14,4,4,186,216,22,33,41,9,6,26,43,72,-29,7,59,41,16,11,14,57,42,15,train,0,2,-2,0,2,1,4,3,3,1,3,4,3
425,20201220,2,42,373,347,14,4,4,311,140,9,58,41,15,13,13,40,37,3,6,60,41,15,15,11,56,46,10,train,1,2,-1,0,2,1,3,4,3,1,4,6,0
