,年度,年月日,カテゴリ,節,H_team,A_team,スコア,スタジアム,K/O時刻,入場者数,インターネット中継・TV放送
0,2012,20120303,ＦＵＪＩ　ＸＥＲＯＸ　ＳＵＰＥＲ　ＣＵＰ,0,柏レイソル,ＦＣ東京,2-1,国立,13:36,35453.0,日本テレビ系全国ネットにて生中継
1,2012,20120304,J2,１,水戸ホーリーホック,横浜ＦＣ,2-1,Ｋｓスタ,13:05,5817.0,スカパー／ｅ２（スカイ・Ａ　ｓｐｏｒｔｓ＋）／スカパー光
2,2012,20120304,J2,１,東京ヴェルディ,松本山雅ＦＣ,2-0,味スタ,13:05,12432.0,スカパー／ｅ２／スカパー光
3,2012,20120304,J2,１,ヴァンフォーレ甲府,栃木ＳＣ,2-1,中銀スタ,15:04,10169.0,スカパー／ｅ２／スカパー光／ＮＨＫ甲府
4,2012,20120304,J2,１,ＦＣ岐阜,ガイナーレ鳥取,2-2,長良川,15:04,3321.0,スカパー／ｅ２（録）／スカパー光／ＮＨＫ岐阜／ＮＨＫ鳥取
5,2012,20120304,J2,１,ファジアーノ岡山,カターレ富山,1-1,カンスタ,15:04,6981.0,スカパー／ｅ２／スカパー光／ＮＨＫ岡山／ＮＨＫ富山
6,2012,20120304,J2,１,アビスパ福岡,ロアッソ熊本,2-1,レベスタ,15:05,7379.0,スカパー／ｅ２／スカパー光／ＮＨＫ福岡／ＮＨＫ熊本
7,2012,20120304,J2,１,大分トリニータ,ザスパクサツ群馬,2-3,大銀ド,15:05,9379.0,スカパー／ｅ２／スカパー光／ＮＨＫ大分
8,2012,20120304,J2,１,ジェフユナイテッド千葉,モンテディオ山形,2-0,フクアリ,15:34,11479.0,スカパー／ｅ２／スカパー光
9,2012,20120304,J2,１,愛媛ＦＣ,ＦＣ町田ゼルビア,2-0,ニンスタ,16:05,3926.0,スカパー／ｅ２（録）／スカパー光／ＮＨＫ松山
10,2012,20120304,J2,１,湘南ベルマーレ,京都サンガF.C.,2-1,ＢＭＷス,17:34,9065.0,スカパー／ｅ２／スカパー光
11,2012,20120304,J2,１,ギラヴァンツ北九州,徳島ヴォルティス,1-2,本城,17:34,3160.0,スカパー／ｅ２／スカパー光
12,2012,20120310,J1,１,北海道コンサドーレ札幌,ジュビロ磐田,0-0,札幌ド,14:04,25353.0,スカパー／ｅ２／スカパー光（スカイ・Ａ　ｓｐｏｒｔｓ＋）／ＮＨＫ札幌
13,2012,20120310,J1,１,ベガルタ仙台,鹿島アントラーズ,1-0,ユアスタ,14:04,18250.0,スカパー／ｅ２／スカパー光／ＮＨＫ総合
14,2012,20120310,J1,１,名古屋グランパス,清水エスパルス,1-0,豊田ス,14:04,24316.0,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　４）／ＮＨＫ名古屋
15,2012,20120310,J1,１,ガンバ大阪,ヴィッセル神戸,2-3,万博,14:04,17066.0,スカパー／ｅ２／スカパー光（Ｊ　ＳＰＯＲＴＳ　１）／ＮＨＫ大阪
16,2012,20120310,J1,１,サガン鳥栖,セレッソ大阪,0-0,ベアスタ,14:05,11283.0,スカパー／ｅ２／スカパー光／ＮＨＫ佐賀
17,2012,20120310,J1,１,サンフレッチェ広島,浦和レッズ,1-0,広島ビ,14:06,29603.0,スカパー／ｅ２／スカパー光／ＮＨＫ広島
18,2012,20120310,J1,１,川崎フロンターレ,アルビレックス新潟,1-0,等々力,17:05,18920.0,スカパー／ｅ２／スカパー光
19,2012,20120310,J1,１,大宮アルディージャ,ＦＣ東京,0-1,ＮＡＣＫ,19:04,11437.0,スカパー／ｅ２／スカパー光／ＮＨＫ　ＢＳ１
20,2012,20120311,J1,１,柏レイソル,横浜Ｆ・マリノス,3-3,柏,14:04,13082.0,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
21,2012,20120311,J2,２,栃木ＳＣ,大分トリニータ,0-3,栃木グ,13:03,4148.0,スカパー／ｅ２／スカパー光／とちぎテレビ（録）
22,2012,20120311,J2,２,松本山雅ＦＣ,モンテディオ山形,1-2,松本,13:03,13098.0,スカパー／ｅ２／スカパー光
23,2012,20120311,J2,２,ギラヴァンツ北九州,ファジアーノ岡山,0-0,本城,13:03,4009.0,スカパー／ｅ２（録）／スカパー光
24,2012,20120311,J2,２,水戸ホーリーホック,カターレ富山,1-0,Ｋｓスタ,13:04,2601.0,スカパー／ｅ２／スカパー光
25,2012,20120311,J2,２,ＦＣ町田ゼルビア,アビスパ福岡,0-1,駒沢,13:04,4286.0,スカパー／ｅ２／スカパー光
26,2012,20120311,J2,２,徳島ヴォルティス,ＦＣ岐阜,3-0,鳴門大塚,13:06,6016.0,スカパー／ｅ２／スカパー光
27,2012,20120311,J2,２,ザスパクサツ群馬,湘南ベルマーレ,1-3,正田スタ,15:04,4237.0,スカパー／ｅ２（録）／スカパー光／群馬テレビ
28,2012,20120311,J2,２,横浜ＦＣ,愛媛ＦＣ,0-0,ニッパ球,16:04,7026.0,スカパー／ｅ２／スカパー光
29,2012,20120311,J2,２,ロアッソ熊本,ガイナーレ鳥取,2-1,熊本,16:04,5817.0,スカパー／ｅ２／スカパー光
30,2012,20120311,J2,２,東京ヴェルディ,ヴァンフォーレ甲府,1-3,味スタ,16:05,7020.0,スカパー／ｅ２／スカパー光
31,2012,20120311,J2,２,京都サンガF.C.,ジェフユナイテッド千葉,2-0,西京極,17:35,8003.0,スカパー／ｅ２／スカパー光／ＫＢＳ京都（録）
32,2012,20120317,J1,２,横浜Ｆ・マリノス,ベガルタ仙台,0-2,日産ス,14:03,19488.0,スカパー／ｅ２／スカパー光（ＴＢＳチャンネル）
