,グラフ,順位,チーム,勝点,試合,勝,分,敗,得点,失点,得失点差,直近試合の勝敗,Unnamed: 12,Unnamed: 13,年度,カテゴリ,節,年間勝点順位,総勝点,Unnamed: 14,Unnamed: 15
0,グラフ,1,ヴィッセル神戸,3,1,1,0,0,3,2,1,,,281.0,2012,Ｊリーグ　ディビジョン１,1,,,,
1,グラフ,2,ベガルタ仙台,3,1,1,0,0,1,0,1,,,41.0,2012,Ｊリーグ　ディビジョン１,1,,,,
2,グラフ,2,ＦＣ東京,3,1,1,0,0,1,0,1,,,130.0,2012,Ｊリーグ　ディビジョン１,1,,,,
3,グラフ,2,川崎フロンターレ,3,1,1,0,0,1,0,1,,,142.0,2012,Ｊリーグ　ディビジョン１,1,,,,
4,グラフ,2,名古屋グランパス,3,1,1,0,0,1,0,1,,,231.0,2012,Ｊリーグ　ディビジョン１,1,,,,
5,グラフ,2,サンフレッチェ広島,3,1,1,0,0,1,0,1,,,341.0,2012,Ｊリーグ　ディビジョン１,1,,,,
6,グラフ,7,柏レイソル,1,1,0,1,0,3,3,0,,,122.0,2012,Ｊリーグ　ディビジョン１,1,,,,
7,グラフ,7,横浜Ｆ・マリノス,1,1,0,1,0,3,3,0,,,143.0,2012,Ｊリーグ　ディビジョン１,1,,,,
8,グラフ,9,コンサドーレ札幌,1,1,0,1,0,0,0,0,,,11.0,2012,Ｊリーグ　ディビジョン１,1,,,,
9,グラフ,9,ジュビロ磐田,1,1,0,1,0,0,0,0,,,222.0,2012,Ｊリーグ　ディビジョン１,1,,,,
10,グラフ,9,セレッソ大阪,1,1,0,1,0,0,0,0,,,272.0,2012,Ｊリーグ　ディビジョン１,1,,,,
11,グラフ,9,サガン鳥栖,1,1,0,1,0,0,0,0,,,412.0,2012,Ｊリーグ　ディビジョン１,1,,,,
12,グラフ,13,ガンバ大阪,0,1,0,0,1,2,3,-1,,,271.0,2012,Ｊリーグ　ディビジョン１,1,,,,
13,グラフ,14,鹿島アントラーズ,0,1,0,0,1,0,1,-1,,,80.0,2012,Ｊリーグ　ディビジョン１,1,,,,
14,グラフ,14,浦和レッズ,0,1,0,0,1,0,1,-1,,,111.0,2012,Ｊリーグ　ディビジョン１,1,,,,
15,グラフ,14,大宮アルディージャ,0,1,0,0,1,0,1,-1,,,112.0,2012,Ｊリーグ　ディビジョン１,1,,,,
16,グラフ,14,アルビレックス新潟,0,1,0,0,1,0,1,-1,,,191.0,2012,Ｊリーグ　ディビジョン１,1,,,,
17,グラフ,14,清水エスパルス,0,1,0,0,1,0,1,-1,,,221.0,2012,Ｊリーグ　ディビジョン１,1,,,,
0,グラフ,1,ベガルタ仙台,6,2,2,0,0,3,0,3,,,41.0,2012,Ｊリーグ　ディビジョン１,2,,,,
1,グラフ,2,ヴィッセル神戸,6,2,2,0,0,5,3,2,,,281.0,2012,Ｊリーグ　ディビジョン１,2,,,,
2,グラフ,3,ＦＣ東京,6,2,2,0,0,4,2,2,,,130.0,2012,Ｊリーグ　ディビジョン１,2,,,,
3,グラフ,4,川崎フロンターレ,6,2,2,0,0,2,0,2,,,142.0,2012,Ｊリーグ　ディビジョン１,2,,,,
4,グラフ,5,ジュビロ磐田,4,2,1,1,0,2,1,1,,,222.0,2012,Ｊリーグ　ディビジョン１,2,,,,
5,グラフ,5,セレッソ大阪,4,2,1,1,0,2,1,1,,,272.0,2012,Ｊリーグ　ディビジョン１,2,,,,
6,グラフ,7,名古屋グランパス,3,2,1,0,1,3,3,0,,,231.0,2012,Ｊリーグ　ディビジョン１,2,,,,
7,グラフ,8,大宮アルディージャ,3,2,1,0,1,2,2,0,,,112.0,2012,Ｊリーグ　ディビジョン１,2,,,,
8,グラフ,8,清水エスパルス,3,2,1,0,1,2,2,0,,,221.0,2012,Ｊリーグ　ディビジョン１,2,,,,
9,グラフ,8,サンフレッチェ広島,3,2,1,0,1,2,2,0,,,341.0,2012,Ｊリーグ　ディビジョン１,2,,,,
10,グラフ,11,浦和レッズ,3,2,1,0,1,1,1,0,,,111.0,2012,Ｊリーグ　ディビジョン１,2,,,,
11,グラフ,12,柏レイソル,1,2,0,1,1,3,4,-1,,,122.0,2012,Ｊリーグ　ディビジョン１,2,,,,
12,グラフ,13,コンサドーレ札幌,1,2,0,1,1,1,2,-1,,,11.0,2012,Ｊリーグ　ディビジョン１,2,,,,
13,グラフ,13,サガン鳥栖,1,2,0,1,1,1,2,-1,,,412.0,2012,Ｊリーグ　ディビジョン１,2,,,,
14,グラフ,15,横浜Ｆ・マリノス,1,2,0,1,1,3,5,-2,,,143.0,2012,Ｊリーグ　ディビジョン１,2,,,,
15,グラフ,16,ガンバ大阪,0,2,0,0,2,3,5,-2,,,271.0,2012,Ｊリーグ　ディビジョン１,2,,,,
16,グラフ,17,アルビレックス新潟,0,2,0,0,2,1,3,-2,,,191.0,2012,Ｊリーグ　ディビジョン１,2,,,,
17,グラフ,18,鹿島アントラーズ,0,2,0,0,2,0,2,-2,,,80.0,2012,Ｊリーグ　ディビジョン１,2,,,,
0,グラフ,1,ベガルタ仙台,9,3,3,0,0,7,1,6,,,41.0,2012,Ｊリーグ　ディビジョン１,3,,,,
1,グラフ,2,ＦＣ東京,9,3,3,0,0,6,2,4,,,130.0,2012,Ｊリーグ　ディビジョン１,3,,,,
2,グラフ,3,ジュビロ磐田,7,3,2,1,0,4,2,2,,,222.0,2012,Ｊリーグ　ディビジョン１,3,,,,
3,グラフ,4,セレッソ大阪,7,3,2,1,0,3,1,2,,,272.0,2012,Ｊリーグ　ディビジョン１,3,,,,
4,グラフ,5,サンフレッチェ広島,6,3,2,0,1,4,2,2,,,341.0,2012,Ｊリーグ　ディビジョン１,3,,,,
5,グラフ,6,名古屋グランパス,6,3,2,0,1,5,4,1,,,231.0,2012,Ｊリーグ　ディビジョン１,3,,,,
6,グラフ,7,浦和レッズ,6,3,2,0,1,3,2,1,,,111.0,2012,Ｊリーグ　ディビジョン１,3,,,,
7,グラフ,8,川崎フロンターレ,6,3,2,0,1,2,1,1,,,142.0,2012,Ｊリーグ　ディビジョン１,3,,,,
8,グラフ,9,ヴィッセル神戸,6,3,2,0,1,5,5,0,,,281.0,2012,Ｊリーグ　ディビジョン１,3,,,,
9,グラフ,10,柏レイソル,4,3,1,1,1,5,5,0,,,122.0,2012,Ｊリーグ　ディビジョン１,3,,,,
10,グラフ,11,サガン鳥栖,4,3,1,1,1,2,2,0,,,412.0,2012,Ｊリーグ　ディビジョン１,3,,,,
11,グラフ,12,清水エスパルス,3,3,1,0,2,3,4,-1,,,221.0,2012,Ｊリーグ　ディビジョン１,3,,,,
12,グラフ,13,大宮アルディージャ,3,3,1,0,2,3,6,-3,,,112.0,2012,Ｊリーグ　ディビジョン１,3,,,,
13,グラフ,14,コンサドーレ札幌,1,3,0,1,2,2,4,-2,,,11.0,2012,Ｊリーグ　ディビジョン１,3,,,,
