,年度,節,チーム,順位,勝点,試合,勝,分,敗,得点,失点,得失点差,カテゴリ
0,2012,1,サンフレッチェ広島,10,0.0,0,0,0,0,0,0,0,J1
1,2012,1,ベガルタ仙台,10,0.0,0,0,0,0,0,0,0,J1
2,2012,1,浦和レッズ,10,0.0,0,0,0,0,0,0,0,J1
3,2012,1,横浜Ｆ・マリノス,10,0.0,0,0,0,0,0,0,0,J1
4,2012,1,サガン鳥栖,10,0.0,0,0,0,0,0,0,0,J1
5,2012,1,柏レイソル,10,0.0,0,0,0,0,0,0,0,J1
6,2012,1,名古屋グランパス,10,0.0,0,0,0,0,0,0,0,J1
7,2012,1,川崎フロンターレ,10,0.0,0,0,0,0,0,0,0,J1
8,2012,1,清水エスパルス,10,0.0,0,0,0,0,0,0,0,J1
9,2012,1,ＦＣ東京,10,0.0,0,0,0,0,0,0,0,J1
10,2012,1,鹿島アントラーズ,10,0.0,0,0,0,0,0,0,0,J1
11,2012,1,ジュビロ磐田,10,0.0,0,0,0,0,0,0,0,J1
12,2012,1,大宮アルディージャ,10,0.0,0,0,0,0,0,0,0,J1
13,2012,1,セレッソ大阪,10,0.0,0,0,0,0,0,0,0,J1
14,2012,1,アルビレックス新潟,10,0.0,0,0,0,0,0,0,0,J1
15,2012,1,ヴィッセル神戸,10,0.0,0,0,0,0,0,0,0,J1
16,2012,1,ガンバ大阪,10,0.0,0,0,0,0,0,0,0,J1
17,2012,1,北海道コンサドーレ札幌,10,0.0,0,0,0,0,0,0,0,J1
18,2012,2,ヴィッセル神戸,1,3.0,1,1,0,0,3,2,1,J1
19,2012,2,ガンバ大阪,13,0.0,1,0,0,1,2,3,-1,J1
20,2012,2,鹿島アントラーズ,14,0.0,1,0,0,1,0,1,-1,J1
21,2012,2,浦和レッズ,14,0.0,1,0,0,1,0,1,-1,J1
22,2012,2,大宮アルディージャ,14,0.0,1,0,0,1,0,1,-1,J1
23,2012,2,アルビレックス新潟,14,0.0,1,0,0,1,0,1,-1,J1
24,2012,2,清水エスパルス,14,0.0,1,0,0,1,0,1,-1,J1
25,2012,2,ベガルタ仙台,2,3.0,1,1,0,0,1,0,1,J1
26,2012,2,ＦＣ東京,2,3.0,1,1,0,0,1,0,1,J1
27,2012,2,川崎フロンターレ,2,3.0,1,1,0,0,1,0,1,J1
28,2012,2,名古屋グランパス,2,3.0,1,1,0,0,1,0,1,J1
29,2012,2,サンフレッチェ広島,2,3.0,1,1,0,0,1,0,1,J1
30,2012,2,柏レイソル,7,1.0,1,0,1,0,3,3,0,J1
31,2012,2,横浜Ｆ・マリノス,7,1.0,1,0,1,0,3,3,0,J1
