,第n回,種別,No,開催日,ホーム,アウェイ,試合結果,くじ結果,当選金_1,当選金_2,当選金_3,次回への繰越金_1,次回への繰越金_2,次回への繰越金_3,当せん口数_1,当せん口数_2,当せん口数_3,販売開始日,販売終了日,結果発表日,払戻開始日,払戻期限
0,550,mini toto-A組,1,20120304,水戸,横浜Ｃ,2-1,1,1805,0,0,0,0,0,5824,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火)
1,550,mini toto-A組,2,20120304,東京Ｖ,松本,2-0,1,1805,0,0,0,0,0,5824,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火)
2,550,mini toto-A組,3,20120304,甲府,栃木,2-1,1,1805,0,0,0,0,0,5824,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火)
3,550,mini toto-A組,4,20120304,岡山,富山,1-1,0,1805,0,0,0,0,0,5824,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火)
4,550,mini toto-A組,5,20120304,福岡,熊本,2-1,1,1805,0,0,0,0,0,5824,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火)
5,550,mini toto-B組,1,20120304,岐阜,鳥取,2-2,0,7813,0,0,0,0,0,1002,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火)
6,550,mini toto-B組,2,20120304,千葉,山形,2-0,1,7813,0,0,0,0,0,1002,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火)
7,550,mini toto-B組,3,20120304,愛媛,町田,2-0,1,7813,0,0,0,0,0,1002,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火)
8,550,mini toto-B組,4,20120304,湘南,京都,2-1,1,7813,0,0,0,0,0,1002,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火)
9,550,mini toto-B組,5,20120304,北九州,徳島,1-2,2,7813,0,0,0,0,0,1002,0,0,2012年02月20日(月),2012年03月04日(日),2012年03月04日(日),2012年03月06日(火),2013年03月05日(火)
10,551,toto,1,20120310,仙台,鹿島,1-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
11,551,toto,2,20120310,名古屋,清水,1-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
12,551,toto,3,20120310,Ｇ大阪,神戸,2-3,2,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
13,551,toto,4,20120310,広島,浦和,1-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
14,551,toto,5,20120310,鳥栖,Ｃ大阪,0-0,0,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
15,551,toto,6,20120310,札幌,磐田,0-0,0,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
16,551,toto,7,20120310,川崎,新潟,1-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
17,551,toto,8,20120310,大宮,Ｆ東京,0-1,2,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
18,551,toto,9,20120311,柏,横浜Ｍ,3-3,0,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
19,551,toto,10,20120311,北九州,岡山,0-0,0,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
20,551,toto,11,20120311,水戸,富山,1-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
21,551,toto,12,20120311,栃木,大分,0-3,2,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
22,551,toto,13,20120311,徳島,岐阜,3-0,1,24265908,324924,19850,0,0,0,3,48,786,2012年02月20日(月),2012年03月10日(土),2012年03月11日(日),2012年03月13日(火),2013年03月12日(火)
23,551,mini toto-A組,1,20120310,仙台,鹿島,1-0,1,14349,0,0,0,0,0,735,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月10日(土),2012年03月13日(火),2013年03月12日(火)
24,551,mini toto-A組,2,20120310,名古屋,清水,1-0,1,14349,0,0,0,0,0,735,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月10日(土),2012年03月13日(火),2013年03月12日(火)
25,551,mini toto-A組,3,20120310,Ｇ大阪,神戸,2-3,2,14349,0,0,0,0,0,735,0,0,2012年02月20日(月),2012年03月10日(土),2012年03月10日(土),2012年03月13日(火),2013年03月12日(火)
